,Player,Height (m),Weight (kg),Born,NBA_Rookie,NBA_Retired,Position,Birth Date,Pos,Team
0,Curly Armstrong,180.0,77.0,1918.0,1949.0,1951.0,G-F,"November 1, 1918",,
1,Cliff Barker,188.0,83.0,1921.0,1950.0,1952.0,G,"January 15, 1921",,
2,Leo Barnhorst,193.0,86.0,1924.0,1950.0,1954.0,F-G,"May 11, 1924",,
3,Ed Bartels,196.0,88.0,1925.0,1950.0,1951.0,F,"October 8, 1925",,
4,Ralph Beard,178.0,79.0,1927.0,1950.0,1951.0,G,"December 2, 1927",,
5,Gene Berce,180.0,79.0,1926.0,1950.0,1950.0,G-F,"November 22, 1926",,
6,Charlie Black,196.0,90.0,1921.0,1949.0,1952.0,F-C,"June 15, 1921",,
7,Nelson Bobb,183.0,77.0,1924.0,1950.0,1953.0,G,"February 25, 1924",,
8,Jake Bornheimer,196.0,90.0,1927.0,1949.0,1950.0,F-C,"June 29, 1927",,
9,Vince Boryla,196.0,95.0,1927.0,1950.0,1954.0,F,"March 11, 1927",,
10,Don Boven,193.0,95.0,1925.0,1950.0,1953.0,F-G,"March 6, 1925",,
11,Harry Boykoff,208.0,102.0,1922.0,1950.0,1951.0,C,"July 24, 1922",,
12,Joe Bradley,190.0,79.0,1928.0,1950.0,1950.0,G,"September 24, 1928",,
13,Bob Brannum,196.0,97.0,1925.0,1950.0,1955.0,F-C,"May 28, 1925",,
14,Carl Braun,196.0,81.0,1927.0,1948.0,1962.0,G-F,"September 25, 1927",,
15,Frankie Brian,185.0,81.0,1923.0,1950.0,1956.0,G,"May 1, 1923",,
16,Price Brookfield,193.0,83.0,1920.0,1949.0,1950.0,F-G,"May 11, 1920",,
17,Bob Brown,193.0,92.0,1923.0,1949.0,1950.0,F,"November 12, 1923",,
18,Jim Browne,208.0,106.0,1930.0,1949.0,1950.0,C,"January 1, 1930",,
19,Walt Budko,196.0,99.0,1925.0,1949.0,1952.0,F-C,"July 30, 1925",,
20,Jack Burmaster,190.0,86.0,1926.0,1950.0,1950.0,G,"December 23, 1926",,
21,Tommy Byrnes,190.0,79.0,1923.0,1947.0,1951.0,F-G,"February 19, 1923",,
22,Bill Calhoun,190.0,81.0,1927.0,1949.0,1955.0,F-G,"November 4, 1927",,
23,Don Carlson,183.0,77.0,1919.0,1947.0,1951.0,G-F,"March 22, 1919",,
24,Bob Carpenter,196.0,90.0,1917.0,1950.0,1951.0,F-C,"November 6, 1917",,
25,Jake Carter,193.0,88.0,1924.0,1950.0,1950.0,F-C,"July 25, 1924",,
26,Al Cervi*,180.0,77.0,1917.0,,,,,,
27,John Chaney,190.0,83.0,1920.0,1950.0,1950.0,F-C,"February 29, 1920",,
28,Leroy Chollet,188.0,86.0,1925.0,1950.0,1951.0,F,"March 5, 1925",,
29,Bill Closs,196.0,88.0,1922.0,1950.0,1952.0,F-C,"January 8, 1922",,
30,Paul Cloyd,188.0,81.0,1920.0,1950.0,1950.0,G-F,"June 13, 1920",,
31,Jack Coleman,201.0,88.0,1924.0,1950.0,1958.0,F-C,"May 23, 1924",,
32,Bobby Cook,178.0,70.0,1923.0,1950.0,1950.0,G-F,"April 1, 1923",,
33,Ray Corley,183.0,81.0,1928.0,1950.0,1953.0,G,"January 1, 1928",,
34,Jack Cotton,201.0,90.0,1924.0,1950.0,1950.0,F-C,"October 25, 1924",,
35,Dillard Crocker,193.0,92.0,1925.0,1949.0,1953.0,F-G,"January 19, 1925",,
36,Chink Crossin,185.0,74.0,1923.0,1948.0,1950.0,G,"July 4, 1923",,
37,Fran Curran,183.0,79.0,1922.0,1949.0,1950.0,G,"September 9, 1922",,
38,Jimmy Darden,185.0,77.0,1922.0,1950.0,1950.0,G,"June 19, 1922",,
39,Bob Davies*,185.0,79.0,1920.0,,,,,,
40,Hook Dillon,190.0,81.0,1924.0,1950.0,1950.0,F,"January 8, 1924",,
41,Earl Dodd,196.0,79.0,1924.0,1950.0,1950.0,F,"November 1, 1924",,
42,Joe Dolhon,183.0,79.0,1927.0,1950.0,1951.0,G,"July 9, 1927",,
43,Bob Doll,196.0,88.0,1919.0,1947.0,1950.0,F-C,"August 10, 1919",,
44,Harry Donovan,188.0,81.0,1926.0,1950.0,1950.0,G,"September 10, 1926",,
45,Andy Duncan,198.0,88.0,1922.0,1949.0,1951.0,F-C,"April 17, 1922",,
46,Dike Eddleman,190.0,85.0,1922.0,1950.0,1953.0,F-G,"December 27, 1922",,
47,Gene Englund,196.0,92.0,1917.0,1950.0,1950.0,F-C,"October 21, 1917",,
48,Bob Evans,188.0,79.0,1925.0,1950.0,1950.0,G,"May 31, 1925",,
49,Johnny Ezersky,190.0,79.0,1922.0,1948.0,1950.0,F-G,"March 21, 1922",,
50,Bob Feerick,190.0,86.0,1920.0,1947.0,1950.0,F-G,"January 2, 1920",,
51,George Feigenbaum,185.0,83.0,1929.0,1950.0,1953.0,G,"July 2, 1929",,
52,Arnie Ferrin,188.0,81.0,1925.0,1949.0,1951.0,F-G,"July 29, 1925",,
53,Jerry Fleishman,188.0,86.0,1922.0,1947.0,1953.0,G-F,"February 14, 1922",,
54,Joe Fulks*,196.0,86.0,1921.0,,,,,,
55,Bill Gabor,180.0,77.0,1922.0,1950.0,1955.0,G-F,"May 13, 1922",,
56,Elmer Gainer,198.0,88.0,1918.0,1948.0,1950.0,F-C,"November 22, 1918",,
57,Harry Gallatin*,198.0,95.0,1927.0,,,,,,
58,Vern Gardner,196.0,90.0,1925.0,1950.0,1952.0,F-C,"May 14, 1925",,
59,Frank Gates,183.0,72.0,1920.0,1950.0,1950.0,G,"April 12, 1920",,
60,Dee Gibson,180.0,79.0,1923.0,1950.0,1950.0,F-G,"August 25, 1923",,
61,Hoot Gibson,196.0,89.0,1921.0,1950.0,1950.0,F-C,"December 5, 1921",,
62,Chuck Gilmur,193.0,102.0,1922.0,1947.0,1951.0,F-C,"August 13, 1922",,
63,Normie Glick,201.0,86.0,1927.0,1950.0,1950.0,F,"November 10, 1927",,
64,Paul Gordon,190.0,83.0,1927.0,1950.0,1950.0,F,"April 8, 1927",,
65,Joe Graboski,201.0,88.0,1930.0,1949.0,1962.0,F-C,"January 15, 1930",,
66,Bud Grant,190.0,88.0,1927.0,1950.0,1951.0,F,"May 20, 1927",,
67,Don Grate,188.0,83.0,1923.0,1950.0,1950.0,F-G,"August 27, 1923",,
68,Alex Groza,201.0,98.0,1926.0,1950.0,1951.0,C,"October 7, 1926",,
69,Al Guokas,196.0,90.0,1925.0,1950.0,1950.0,F-G,"August 7, 1925",,
70,Robert Hahn,208.0,108.0,1925.0,1950.0,1950.0,C,"August 25, 1925",,
71,Chick Halbert,206.0,102.0,1919.0,1947.0,1951.0,C,"February 27, 1919",,
72,Bruce Hale,185.0,77.0,1918.0,1949.0,1951.0,G-F,"August 30, 1918",,
73,Dale Hamilton,183.0,81.0,1919.0,1950.0,1950.0,G-F,"August 16, 1919",,
74,Alex Hannum*,201.0,95.0,1923.0,,,,,,
75,John Hargis,188.0,81.0,1920.0,1950.0,1951.0,G-F,"August 20, 1920",,
76,Bob Harris,201.0,88.0,1927.0,1950.0,1954.0,F-C,"March 16, 1927",,
77,Bob Harrison,201.0,88.0,1927.0,1950.0,1958.0,G,"August 12, 1927",,
78,Billy Hassett,180.0,81.0,1921.0,1950.0,1951.0,G,"October 21, 1921",,
79,Marshall Hawkins,190.0,92.0,1924.0,1950.0,1950.0,F,"August 3, 1924",,
80,Bill Henry,206.0,97.0,1924.0,1949.0,1950.0,C,"December 27, 1924",,
81,Bill Herman,190.0,77.0,1924.0,1950.0,1950.0,G,"May 17, 1924",,
82,Kleggie Hermsen,206.0,102.0,1923.0,1947.0,1953.0,C-F,"March 12, 1923",,
83,Sonny Hertzberg,178.0,79.0,1922.0,1947.0,1951.0,G,"July 29, 1922",,
84,Paul Hoffman,188.0,88.0,1925.0,1948.0,1955.0,G-F,"April 12, 1925",,
85,Joe Holland,193.0,83.0,1925.0,1950.0,1952.0,F,"September 26, 1925",,
86,Red Holzman*,178.0,79.0,1920.0,,,,,,
87,Gene James,193.0,81.0,1925.0,1949.0,1951.0,F,"February 15, 1925",,
88,Howie Janotta,190.0,83.0,1924.0,1950.0,1950.0,F,"October 19, 1924",,
89,Tony Jaros,190.0,83.0,1920.0,1947.0,1951.0,F-G,"February 22, 1920",,
90,Buddy Jeannette*,180.0,79.0,1917.0,,,,,,
91,Arnie Johnson,196.0,107.0,1920.0,1949.0,1953.0,F-C,"May 16, 1920",,
92,Ralph Johnson,180.0,77.0,1921.0,1950.0,1953.0,G,"December 6, 1921",,
93,Wah Wah,180.0,77.0,1921.0,,,,,,
94,Noble Jorgensen,206.0,103.0,1925.0,1947.0,1953.0,C,"May 18, 1925",,
95,George Kaftan,190.0,86.0,1928.0,1949.0,1953.0,F,"February 22, 1928",,
96,Leo Katkaveck,183.0,83.0,1923.0,1949.0,1950.0,G,"April 17, 1923",,
97,Jack Kerris,198.0,97.0,1925.0,1950.0,1953.0,F-C,"January 30, 1925",,
98,Bob Kinney,198.0,97.0,1920.0,1949.0,1950.0,C-F,"September 16, 1920",,
99,Walt Kirk,190.0,78.0,1924.0,1949.0,1952.0,G-F,"September 3, 1924",,
100,Leo Klier,188.0,77.0,1923.0,1949.0,1950.0,F-G,"May 21, 1923",,
101,Duane Klueh,190.0,79.0,1926.0,1950.0,1951.0,G,"January 6, 1926",,
102,Lee Knorek,201.0,97.0,1921.0,1947.0,1950.0,C,"July 15, 1921",,
103,Milo Komenich,201.0,96.0,1920.0,1950.0,1950.0,F-C,"June 22, 1920",,
104,Leo Kubiak,180.0,72.0,1927.0,1950.0,1950.0,G,"December 25, 1927",,
105,Frank Kudelka,188.0,87.0,1925.0,1950.0,1953.0,G-F,"June 25, 1925",,
106,Walt Lautenbach,188.0,83.0,1922.0,1950.0,1950.0,G-F,"November 17, 1922",,
107,Tony Lavelli,190.0,83.0,1926.0,1950.0,1951.0,F,"July 11, 1926",,
108,Ed Leede,190.0,83.0,1927.0,1950.0,1951.0,F-G,"July 17, 1927",,
109,Andrew Levane,188.0,86.0,1920.0,1949.0,1953.0,F-G,"April 11, 1920",,
110,Freddie Lewis,188.0,88.0,1921.0,1949.0,1950.0,F-G,"January 6, 1921",,
112,Ron Livingstone,208.0,99.0,1925.0,1950.0,1951.0,C,"October 9, 1925",,
113,John Logan,188.0,79.0,1921.0,1947.0,1951.0,G,"January 1, 1921",,
114,Ray Lumpp,185.0,80.0,1923.0,1949.0,1953.0,G,"July 11, 1923",,
115,Ed Macauley*,203.0,83.0,1928.0,,,,,,
116,Johnny Macknowski,183.0,81.0,1923.0,,,,,,
117,John Mahnken,203.0,99.0,1922.0,1947.0,1953.0,C,"June 16, 1922",,
118,John Mandic,193.0,92.0,1919.0,1949.0,1950.0,F-C,"October 3, 1919",,
119,Slater Martin*,178.0,77.0,1925.0,,,,,,
120,Ariel Maughan,193.0,86.0,1923.0,1947.0,1951.0,F,"February 23, 1923",,
121,Matt Mazza,190.0,95.0,1923.0,1950.0,1950.0,F,"September 23, 1923",,
122,Mike McCarron,180.0,81.0,1922.0,1947.0,1950.0,G,"March 2, 1922",,
123,Dick McGuire*,183.0,81.0,1926.0,,,,,,
124,Bones McKinney,198.0,83.0,1919.0,1947.0,1952.0,F-C,"January 1, 1919",,
125,Mal McMullen,196.0,95.0,1927.0,1950.0,1951.0,F-C,"August 23, 1927",,
126,Dick Mehen,196.0,88.0,1922.0,1950.0,1952.0,F-C,"May 20, 1922",,
127,Ken Menke,183.0,76.0,1922.0,1950.0,1950.0,G,"October 2, 1922",,
128,Stan Miasek,196.0,95.0,1924.0,1947.0,1953.0,C-F,"September 19, 1923",,
129,Ed Mikan,203.0,104.0,1925.0,1949.0,1954.0,C-F,"October 20, 1925",,
130,George Mikan*,208.0,111.0,1924.0,,,,,,
131,Vern Mikkelsen*,201.0,104.0,1928.0,,,,,,
132,Al Miksis,201.0,95.0,1928.0,1950.0,1950.0,C,"February 2, 1928",,
133,Murray Mitchell,201.0,95.0,1923.0,1950.0,1950.0,C,"March 19, 1923",,
134,Leo Mogus,193.0,86.0,1921.0,1947.0,1951.0,F-C,"April 13, 1921",,
135,Max Morris,188.0,88.0,1925.0,1950.0,1950.0,F-C,"March 14, 1925",,
136,Joe Mullaney,183.0,74.0,1925.0,1950.0,1950.0,G,"November 17, 1924",,
137,Jerry Nagel,183.0,86.0,1928.0,1950.0,1950.0,G,"May 18, 1928",,
138,Jack Nichols,201.0,100.0,1926.0,1949.0,1958.0,C-F,"April 9, 1926",,
139,Richie Niemiera,185.0,74.0,1921.0,1949.0,1950.0,G-F,"May 26, 1921",,
140,Paul Noel,193.0,83.0,1924.0,1948.0,1952.0,F,"August 17, 1924",,
141,Jim Nolan,203.0,95.0,1927.0,1950.0,1950.0,C,"June 9, 1927",,
142,Johnny Norlander,190.0,81.0,1921.0,1947.0,1951.0,F,"March 5, 1921",,
143,George Nostrand,203.0,88.0,1924.0,1947.0,1950.0,C-F,"January 25, 1924",,
144,Mike Novak,206.0,99.0,1915.0,1949.0,1954.0,C-F,"April 23, 1915",,
145,Dermie O'Connell,183.0,78.0,1928.0,1949.0,1950.0,G,"April 13, 1928",,
146,Andy O'Donnell,185.0,81.0,1925.0,1950.0,1950.0,G,"March 10, 1925",,
147,Dick O'Keefe,188.0,83.0,1923.0,1948.0,1951.0,G-F,"September 29, 1923",,
148,John Oldham,190.0,79.0,1923.0,1950.0,1951.0,G,"June 22, 1923",,
